entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
1854,1,0,182.236,192.644,-1,-1,-1,1.1649,0,0,0,0.202358,0,0,0,20.7432,0,0,0
1855,1,0,248.958,239.743,-1,-1,-1,-2.20208,0,0,0,2.78185,0,0,0,22.9558,0,0,0
1856,2,0,601.73,568.4,43.3049,-1,-1,-0.0871456,1.19574,0,0,-0.97696,-0.518579,0,0,75.5156,5.51925,0,0
1857,3,0,245.785,280.117,79.8015,40.2111,-1,1.68348,-1.00281,-1.46918,0,0.44965,-1.15993,-1.58281,0,43.2696,16.2036,8.23237,0
1858,2,0,155.755,163.656,36.6173,-1,-1,-1.46846,-1.70566,0,0,1.8773,-0.347837,0,0,25.0191,8.53302,0,0
1859,3,0,178.007,233.105,47.4662,40.2946,-1,0.96016,1.97511,-0.496653,0,-2.23665,-0.149718,-0.298651,0,32.8621,6.82843,9.63594,0
1860,1,0,903.738,934.241,-1,-1,-1,-0.376783,0,0,0,1.25537,0,0,0,45.9809,0,0,0
1861,1,0,129.345,182.018,-1,-1,-1,0.997436,0,0,0,-1.6825,0,0,0,24.0448,0,0,0
1862,2,0,204.828,191.519,37.3563,-1,-1,0.173087,0.272572,0,0,-0.735233,0.264832,0,0,20.5241,7.21332,0,0
1863,1,0,181.049,198.343,-1,-1,-1,-0.514623,0,0,0,1.84394,0,0,0,20.457,0,0,0
1864,2,0,289.617,261.826,37.9774,-1,-1,-0.617706,-1.17448,0,0,1.39257,1.69483,0,0,44.6078,7.92194,0,0
1865,2,0,231.809,261.513,36.1052,-1,-1,1.33281,1.63236,0,0,0.422792,2.25426,0,0,32.4215,7.35374,0,0
1866,1,0,307.825,319.027,-1,-1,-1,0.712262,0,0,0,-1.72048,0,0,0,31.1637,0,0,0
1867,1,0,177.671,205.418,-1,-1,-1,-1.80067,0,0,0,-2.73526,0,0,0,22.6959,0,0,0
1868,2,0,298.134,291.211,58.7674,-1,-1,-1.99398,1.03267,0,0,3.02994,1.8845,0,0,36.5619,9.38401,0,0
1869,1,0,196.184,184.813,-1,-1,-1,-0.215337,0,0,0,-2.74174,0,0,0,20.619,0,0,0
1870,2,0,315.964,533.203,47.7762,-1,-1,1.42166,-0.536442,0,0,0.347357,-3.08579,0,0,34.2176,8.17856,0,0
1871,1,0,268.348,284.524,-1,-1,-1,0.498776,0,0,0,-3.02408,0,0,0,19.6791,0,0,0
1872,1,0,420.377,313.653,-1,-1,-1,-0.143818,0,0,0,0.963507,0,0,0,33.0238,0,0,0
1873,1,0,479.889,47.8006,-1,-1,-1,-1.64342,0,0,0,-2.1065,0,0,0,5.85497,0,0,0
1874,1,0,283.34,219.278,-1,-1,-1,1.76048,0,0,0,1.29724,0,0,0,38.4911,0,0,0
1875,2,0,188.876,203.985,61.5524,-1,-1,-0.852135,0.134548,0,0,3.09477,-0.201687,0,0,31.7295,8.12593,0,0
1876,1,0,193.21,145.403,-1,-1,-1,-1.39032,0,0,0,0.154169,0,0,0,25.0155,0,0,0
1877,2,0,272.424,139.35,127.027,-1,-1,-1.12039,-1.195,0,0,2.04449,1.4404,0,0,26.5939,23.0495,0,0
1878,2,0,239.914,202.78,39.7389,-1,-1,-0.53435,1.54573,0,0,-2.41553,-1.6816,0,0,42.6316,8.81605,0,0
1879,1,0,145.956,184.263,-1,-1,-1,2.2499,0,0,0,-0.337796,0,0,0,20.3479,0,0,0
1880,3,0,169.064,138.335,99.9575,92.0667,-1,-2.19917,1.11062,1.67003,0,-2.466,2.36947,0.281279,0,15.5238,13.1255,12.9835,0
1881,1,0,210.853,179.725,-1,-1,-1,1.4705,0,0,0,1.30124,0,0,0,21.9215,0,0,0
1882,3,0,202.532,287.989,115.692,37.2253,-1,-0.972807,-0.38402,2.13967,0,2.23409,-2.52347,0.141497,0,28.9346,24.6144,6.04924,0
1883,1,0,372.957,391.885,-1,-1,-1,-0.039573,0,0,0,0.647182,0,0,0,36.1365,0,0,0
1884,3,0,696.442,425.625,417.876,53.2639,-1,-1.44955,1.31307,0.60604,0,-1.15474,-2.72694,-2.56483,0,29.86,44.6351,7.13215,0
1885,2,0,226.615,137.646,43.1729,-1,-1,-0.934971,1.15845,0,0,-1.5233,-2.1526,0,0,25.3489,8.70473,0,0
1886,2,0,181.801,191.351,122.515,-1,-1,0.222187,-0.454233,0,0,0.360856,2.09093,0,0,20.4462,13.2387,0,0
1887,3,0,234.641,183.981,65.4796,61.2928,-1,0.307887,-0.15448,-0.849277,0,-2.17139,-1.45151,-1.46423,0,18.3167,8.40119,13.0866,0
1888,3,0,167.435,190.552,65.5121,39.8468,-1,1.4132,-2.37425,0.359613,0,-2.99305,0.586052,-3.07194,0,21.2466,10.5632,8.4544,0
1889,3,0,348.736,224.274,44.6804,41.971,-1,-1.51084,-0.694535,0.895552,0,-1.49952,-1.87343,-1.16754,0,25.2706,8.99124,7.52571,0
1890,1,0,354.628,343.801,-1,-1,-1,-1.6991,0,0,0,1.40005,0,0,0,73.7985,0,0,0
1891,1,0,164.215,203.551,-1,-1,-1,-0.0351461,0,0,0,3.05601,0,0,0,15.6121,0,0,0
1892,2,0,340.897,214.021,37.9444,-1,-1,0.0246622,-0.814292,0,0,1.59371,2.04911,0,0,20.9712,6.06235,0,0
1893,1,0,347.93,367.92,-1,-1,-1,-1.48213,0,0,0,-0.702159,0,0,0,29.3434,0,0,0
